Data,Quantity
2021-06-01,21.0
2021-06-02,37.0
2021-06-03,19.0
2021-06-04,22.0
2021-06-05,61.0
2021-06-06,42.5
2021-06-07,18.0
2021-06-08,17.0
2021-06-09,31.0
2021-06-10,23.0
2021-06-11,35.0
2021-06-12,64.0
2021-06-13,31.0
2021-06-14,18.0
2021-06-15,10.0
2021-06-16,15.0
2021-06-17,25.0
2021-06-18,30.0
2021-06-19,44.39
2021-06-20,37.0
2021-06-21,11.0
2021-06-22,29.0
2021-06-23,19.0
2021-06-24,30.0
2021-06-25,33.0
2021-06-26,37.0
2021-06-27,54.0
2021-06-28,19.0
2021-06-29,14.0
2021-06-30,22.74
2021-07-01,17.0
2021-07-02,23.0
2021-07-03,48.0
2021-07-04,34.0
2021-07-05,18.0
2021-07-06,28.0
2021-07-07,32.0
2021-07-08,25.0
2021-07-09,33.0
2021-07-10,44.0
2021-07-11,42.0
2021-07-12,11.0
2021-07-13,15.0
2021-07-14,13.0
2021-07-15,13.0
2021-07-16,25.0
2021-07-17,47.0
2021-07-18,32.0
2021-07-19,25.0
2021-07-20,18.0
2021-07-21,23.0
2021-07-22,32.0
2021-07-23,26.0
2021-07-24,41.0
2021-07-25,34.0
2021-07-26,19.0
2021-07-27,20.0
2021-07-28,29.0
2021-07-29,32.66
2021-07-30,25.0
2021-07-31,44.0
2021-08-01,21.0
2021-08-02,8.0
2021-08-03,24.0
2021-08-04,25.0
2021-08-05,29.0
2021-08-06,26.0
2021-08-07,29.0
2021-08-08,25.0
2021-08-09,20.0
2021-08-10,11.0
2021-08-11,16.0
2021-08-12,37.0
2021-08-13,37.0
2021-08-14,41.0
2021-08-15,48.0
2021-08-16,22.0
2021-08-17,25.66
2021-08-18,27.0
2021-08-19,31.0
2021-08-20,32.0
2021-08-21,69.0
2021-08-22,43.0
2021-08-23,11.0
2021-08-24,15.0
2021-08-25,18.0
2021-08-26,36.0
2021-08-27,28.0
2021-08-28,54.0
2021-08-29,27.0
2021-08-30,11.0
2021-08-31,5.0
2021-09-01,23.0
2021-09-02,22.0
2021-09-03,29.0
2021-09-04,50.0
2021-09-05,57.0
2021-09-06,24.0
2021-09-07,16.0
2021-09-08,21.0
2021-09-09,29.0
2021-09-10,27.0
2021-09-11,72.0
2021-09-12,39.0
2021-09-13,22.0
2021-09-14,35.0
2021-09-15,18.0
2021-09-16,30.0
2021-09-17,25.0
2021-09-18,65.0
2021-09-19,30.0
2021-09-20,9.0
2021-09-21,14.86
2021-09-22,20.0
2021-09-23,22.0
2021-09-24,46.0
2021-09-25,64.0
2021-09-26,30.560000000000002
2021-09-27,20.0
2021-09-28,20.0
2021-09-29,22.74
2021-09-30,23.0
2021-10-01,48.0
2021-10-02,67.0
2021-10-03,36.0
2021-10-04,9.0
2021-10-05,15.600000000000001
2021-10-06,20.0
2021-10-07,26.0
2021-10-08,22.0
2021-10-09,50.0
2021-10-10,40.08
2021-10-11,15.0
2021-10-12,15.0
2021-10-13,25.55
2021-10-14,25.0
2021-10-15,18.0
2021-10-16,68.0
2021-10-17,26.0
2021-10-18,11.74
2021-10-19,14.0
2021-10-20,16.2
2021-10-21,33.0
2021-10-22,20.0
2021-10-23,100.68
2021-10-24,29.0
2021-10-25,5.0
2021-10-26,10.0
2021-10-27,34.0
2021-10-28,13.0
2021-10-29,32.0
2021-10-30,95.0
2021-10-31,41.0
2021-11-01,20.0
2021-11-02,15.0
2021-11-03,31.0
2021-11-04,33.0
2021-11-05,13.0
2021-11-06,59.0
2021-11-07,54.0
2021-11-08,7.0
2021-11-09,8.0
2021-11-10,29.0
2021-11-11,14.0
2021-11-12,34.0
2021-11-13,64.0
2021-11-14,41.76
2021-11-15,13.0
2021-11-16,30.0
2021-11-17,14.0
2021-11-18,10.0
2021-11-19,30.0
2021-11-20,71.0
2021-11-21,24.0
2021-11-22,16.7
2021-11-23,25.0
2021-11-24,26.0
2021-11-25,36.0
2021-11-26,21.0
2021-11-27,64.0
2021-11-28,32.0
2021-11-29,25.0
2021-11-30,24.67
2021-12-01,14.0
2021-12-02,14.66
2021-12-03,35.0
2021-12-04,71.0
2021-12-05,42.0
2021-12-06,16.0
2021-12-07,28.0
2021-12-08,21.0
2021-12-09,18.22
2021-12-10,24.0
2021-12-11,49.0
2021-12-12,21.0
2021-12-13,14.0
2021-12-14,17.2
2021-12-15,36.0
2021-12-16,15.0
2021-12-17,19.0
2021-12-18,58.0
2021-12-19,39.0
2021-12-20,13.0
2021-12-21,31.0
2021-12-22,21.56
2021-12-23,24.0
2021-12-24,19.0
2021-12-26,23.0
2021-12-27,23.0
2021-12-28,28.0
2021-12-29,23.0
2021-12-30,18.66
2021-12-31,40.0
2022-01-01,38.0
2022-01-02,65.0
2022-01-03,16.0
2022-01-04,18.0
2022-01-05,26.0
2022-01-06,21.0
2022-01-07,9.0
2022-01-08,44.0
2022-01-09,23.0
2022-01-10,6.0
2022-01-11,8.0
2022-01-12,7.0
2022-01-13,33.0
2022-01-14,15.0
2022-01-15,45.0
2022-01-16,24.0
2022-01-17,8.0
2022-01-18,12.0
2022-01-19,25.0
2022-01-20,10.0
2022-01-21,13.0
2022-01-22,58.0
2022-01-23,21.0
2022-01-24,15.0
2022-01-25,17.0
2022-01-26,19.0
2022-01-27,9.0
2022-01-28,25.0
2022-01-29,80.0
2022-01-30,25.0
2022-01-31,9.0
2022-02-01,20.0
2022-02-02,34.0
2022-02-03,11.0
2022-02-04,24.0
2022-02-05,84.0
2022-02-06,27.0
2022-02-07,10.0
2022-02-08,16.5
2022-02-09,11.0
2022-02-10,27.0
2022-02-11,13.0
2022-02-12,71.45
2022-02-13,48.34
2022-02-14,5.0
2022-02-15,9.0
2022-02-16,9.0
2022-02-17,20.0
2022-02-18,37.0
2022-02-19,77.0
2022-02-20,28.0
2022-02-21,7.0
2022-02-22,24.0
2022-02-23,12.0
2022-02-24,13.0
2022-02-25,40.0
2022-02-26,88.5
2022-02-27,30.0
2022-02-28,23.6
2022-03-01,17.0
2022-03-02,25.0
2022-03-03,27.0
2022-03-04,27.67
2022-03-05,39.0
2022-03-06,33.0
2022-03-07,4.0
2022-03-08,21.0
2022-03-09,22.0
2022-03-10,16.0
2022-03-11,20.0
2022-03-12,58.0
2022-03-13,38.0
2022-03-14,7.0
2022-03-15,16.0
2022-03-16,16.0
2022-03-17,19.0
2022-03-18,24.4
2022-03-19,85.0
2022-03-20,45.45
2022-03-21,14.0
2022-03-22,30.0
2022-03-23,25.56
2022-03-24,21.0
2022-03-25,34.0
2022-03-26,65.0
2022-03-27,31.0
